Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

10:32:09 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:32:10 PM  1000      1458    0.00    0.00    0.00    0.00    0.00     0  java
10:32:11 PM  1000      1458    2.08    0.00    0.00    0.00    2.08     0  java
10:32:12 PM  1000      1458   46.07    0.00    0.00    0.00   46.07     0  java
10:32:13 PM  1000      1458   51.11    0.00    0.00    0.00   51.11     0  java
10:32:14 PM  1000      1458   62.65    0.00    0.00    0.00   62.65     0  java
10:32:15 PM  1000      1458  100.00    0.00    0.00    0.00  100.00     0  java
10:32:16 PM  1000      1458   59.76    0.00    0.00    0.00   59.76     0  java
10:32:17 PM  1000      1458   42.35    2.35    0.00    0.00   44.71     0  java
10:32:18 PM  1000      1458   42.22    0.00    0.00    0.00   42.22     0  java
10:32:19 PM  1000      1458   14.29    0.00    0.00    0.00   14.29     0  java
10:32:20 PM  1000      1458    1.02    0.00    0.00    0.00    1.02     0  java
10:32:21 PM  1000      1458    0.00    1.02    0.00    0.00    1.02     0  java
10:32:22 PM  1000      1458    0.00    0.00    0.00    0.00    0.00     0  java
10:32:23 PM  1000      1458    0.00    0.00    0.00    0.00    0.00     0  java
10:32:24 PM  1000      1458    1.01    0.00    0.00    0.00    1.01     0  java
Average:     1000      1458   27.89    0.22    0.00    0.00   28.12     -  java
