Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

10:37:02 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:37:03 PM  1000      1458      0.00      0.00 1594156  469824  11.63  java
10:37:04 PM  1000      1458      0.00      0.00 1594156  469824  11.63  java
10:37:05 PM  1000      1458      9.30      0.00 1594156  469824  11.63  java
10:37:06 PM  1000      1458     13.10      0.00 1594156  469824  11.63  java
10:37:07 PM  1000      1458      4.26      0.00 1594156  469824  11.63  java
10:37:08 PM  1000      1458     18.29      0.00 1594156  469944  11.63  java
10:37:09 PM  1000      1458     11.49      0.00 1594156  469944  11.63  java
10:37:10 PM  1000      1458     14.29      0.00 1594156  470024  11.64  java
10:37:11 PM  1000      1458      3.23      0.00 1594156  470024  11.64  java
10:37:12 PM  1000      1458      0.00      0.00 1594156  470024  11.64  java
10:37:13 PM  1000      1458      0.00      0.00 1594156  470024  11.64  java
10:37:14 PM  1000      1458      0.00      0.00 1594156  470024  11.64  java
10:37:15 PM  1000      1458      0.00      0.00 1594156  470024  11.64  java
10:37:16 PM  1000      1458      0.00      0.00 1594156  470024  11.64  java
10:37:17 PM  1000      1458      0.00      0.00 1594156  470024  11.64  java
Average:     1000      1458      4.56      0.00 1594156  469947  11.63  java
