Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

10:33:56 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:33:57 PM  1000      1458      1.02      0.00 1592920  467056  11.56  java
10:33:58 PM  1000      1458      5.21      0.00 1592920  467056  11.56  java
10:33:59 PM  1000      1458     11.96      0.00 1592920  467128  11.56  java
10:34:00 PM  1000      1458     27.71      0.00 1592920  467180  11.57  java
10:34:01 PM  1000      1458     19.32      0.00 1592920  467308  11.57  java
10:34:02 PM  1000      1458     25.84      0.00 1592920  467372  11.57  java
10:34:03 PM  1000      1458     33.73      0.00 1592920  467436  11.57  java
10:34:04 PM  1000      1458     10.47      0.00 1592920  467436  11.57  java
10:34:05 PM  1000      1458     13.92      0.00 1592920  467516  11.57  java
10:34:06 PM  1000      1458     11.83      0.00 1592920  467556  11.57  java
10:34:07 PM  1000      1458      0.00      0.00 1592920  467556  11.57  java
10:34:08 PM  1000      1458      0.00      0.00 1592920  467556  11.57  java
10:34:09 PM  1000      1458      0.00      0.00 1592920  467556  11.57  java
10:34:10 PM  1000      1458      0.00      0.00 1592920  467556  11.57  java
10:34:11 PM  1000      1458      0.00      0.00 1592920  467556  11.57  java
Average:     1000      1458     10.09      0.00 1592920  467388  11.57  java
