Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

08:57:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:57:59 PM  1000      1469    0.00    0.00    0.00    0.00    0.00     0  java
08:58:00 PM  1000      1469    0.00    0.00    0.00    0.00    0.00     0  java
08:58:01 PM  1000      1469   10.87    2.17    0.00    0.00   13.04     0  java
08:58:02 PM  1000      1469   15.62    0.00    0.00    0.00   15.62     0  java
08:58:03 PM  1000      1469   25.88    0.00    0.00    0.00   25.88     0  java
08:58:04 PM  1000      1469   28.24    0.00    0.00    0.00   28.24     0  java
08:58:05 PM  1000      1469   20.22    1.12    0.00    0.00   21.35     0  java
08:58:06 PM  1000      1469   27.06    2.35    0.00    0.00   29.41     0  java
08:58:07 PM  1000      1469   15.22    2.17    0.00    0.00   17.39     0  java
08:58:08 PM  1000      1469   14.61    1.12    0.00    0.00   15.73     0  java
08:58:09 PM  1000      1469    0.00    0.00    0.00    0.00    0.00     0  java
08:58:10 PM  1000      1469    1.02    0.00    0.00    0.00    1.02     0  java
08:58:11 PM  1000      1469    0.00    0.00    0.00    0.00    0.00     0  java
08:58:12 PM  1000      1469    0.00    0.00    0.00    0.00    0.00     0  java
08:58:13 PM  1000      1469    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1469    9.98    0.57    0.00    0.00   10.55     -  java
