Linux 4.15.0-124-generic (bookstore) 	02/25/2021 	_x86_64_	(1 CPU)

11:13:49 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:13:50 PM  1000      1848    1.05    0.00    0.00    0.00    1.05     0  java
11:13:51 PM  1000      1848   38.16   14.47    0.00    0.00   52.63     0  java
11:13:52 PM  1000      1848  100.00   61.76    0.00    0.00  100.00     0  java
11:13:53 PM  1000      1848   22.22    1.23    0.00    0.00   23.46     0  java
11:13:54 PM  1000      1848   84.13    7.94    0.00    0.00   92.06     0  java
11:13:55 PM  1000      1848   29.87   10.39    0.00    0.00   40.26     0  java
11:13:56 PM  1000      1848   52.24   14.93    0.00    0.00   67.16     0  java
11:13:57 PM  1000      1848   29.27    2.44    0.00    0.00   31.71     0  java
11:13:58 PM  1000      1848   56.92   16.92    0.00    0.00   73.85     0  java
11:13:59 PM  1000      1848  100.00   10.53    0.00    0.00  100.00     0  java
11:14:00 PM  1000      1848  100.00    3.12    0.00    0.00  100.00     0  java
11:14:01 PM  1000      1848  100.00    1.61    0.00    0.00  100.00     0  java
11:14:02 PM  1000      1848  100.00    0.00    0.00    0.00  100.00     0  java
11:14:03 PM  1000      1848  100.00    0.00    0.00    0.00  100.00     0  java
11:14:04 PM  1000      1848  100.00    0.00    0.00    0.00  100.00     0  java
11:14:05 PM  1000      1848  100.00    5.97    0.00    0.00  100.00     0  java
11:14:06 PM  1000      1848  100.00   27.94    0.00    0.00  100.00     0  java
11:14:07 PM  1000      1848  100.00    6.90    0.00    0.00  100.00     0  java
11:14:08 PM  1000      1848   54.67    1.33    0.00    0.00   56.00     0  java
11:14:09 PM  1000      1848   57.58    6.06    0.00    0.00   63.64     0  java
11:14:10 PM  1000      1848   14.61    0.00    0.00    0.00   14.61     0  java
11:14:11 PM  1000      1848   60.00    6.15    0.00    0.00   66.15     0  java
11:14:12 PM  1000      1848   20.00    2.35    0.00    0.00   22.35     0  java
11:14:13 PM  1000      1848   41.79   10.45    0.00    0.00   52.24     0  java
11:14:14 PM  1000      1848   19.77    3.49    0.00    0.00   23.26     0  java
11:14:15 PM  1000      1848   25.93    2.47    0.00    0.00   28.40     0  java
11:14:16 PM  1000      1848   41.10    1.37    0.00    0.00   42.47     0  java
11:14:17 PM  1000      1848    6.32    0.00    0.00    0.00    6.32     0  java
11:14:18 PM  1000      1848   29.11    3.80    0.00    0.00   32.91     0  java
11:14:19 PM  1000      1848   68.25    6.35    0.00    0.00   74.60     0  java
11:14:20 PM  1000      1848    8.05    6.90    0.00    0.00   14.94     0  java
11:14:21 PM  1000      1848   50.75    4.48    0.00    0.00   55.22     0  java
11:14:22 PM  1000      1848   32.47    0.00    0.00    0.00   32.47     0  java
11:14:23 PM  1000      1848   25.61    2.44    0.00    0.00   28.05     0  java
11:14:24 PM  1000      1848   40.85    2.82    0.00    0.00   43.66     0  java
11:14:25 PM  1000      1848   33.33    1.28    0.00    0.00   34.62     0  java
11:14:26 PM  1000      1848   24.69    2.47    0.00    0.00   27.16     0  java
11:14:27 PM  1000      1848   10.00    1.25    0.00    0.00   11.25     0  java
11:14:28 PM  1000      1848    8.33    2.38    0.00    0.00   10.71     0  java
11:14:29 PM  1000      1848    1.03    0.00    0.00    0.00    1.03     0  java
11:14:30 PM  1000      1848   41.67    2.78    0.00    0.00   44.44     0  java
11:14:31 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:32 PM  1000      1848   38.89    4.17    0.00    0.00   43.06     0  java
11:14:33 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:34 PM  1000      1848   36.00    1.33    0.00    0.00   37.33     0  java
11:14:35 PM  1000      1848    3.19    0.00    0.00    0.00    3.19     0  java
11:14:36 PM  1000      1848   12.36    0.00    0.00    0.00   12.36     0  java
11:14:37 PM  1000      1848    4.26    1.06    0.00    0.00    5.32     0  java
11:14:38 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:39 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:40 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:41 PM  1000      1848    1.03    0.00    0.00    0.00    1.03     0  java
11:14:42 PM  1000      1848    2.08    0.00    0.00    0.00    2.08     0  java
11:14:43 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:44 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:45 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:46 PM  1000      1848    1.03    0.00    0.00    0.00    1.03     0  java
11:14:47 PM  1000      1848    3.16    0.00    0.00    0.00    3.16     0  java
11:14:48 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
11:14:49 PM  1000      1848    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1848   33.99    3.37    0.00    0.00   37.35     -  java
