Linux 4.15.0-124-generic (bookstore) 	01/27/2021 	_x86_64_	(1 CPU)

12:01:15 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:01:16 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:17 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:18 AM  1000      1712   78.33    8.33    0.00    0.00   86.67     0  java
12:01:19 AM  1000      1712  100.00   32.50    0.00    0.00  100.00     0  java
12:01:20 AM  1000      1712    9.09    3.41    0.00    0.00   12.50     0  java
12:01:21 AM  1000      1712   20.48    8.43    0.00    0.00   28.92     0  java
12:01:22 AM  1000      1712   17.07    6.10    0.00    0.00   23.17     0  java
12:01:23 AM  1000      1712   42.11    3.95    0.00    0.00   46.05     0  java
12:01:24 AM  1000      1712   44.74    1.32    0.00    0.00   46.05     0  java
12:01:25 AM  1000      1712   33.73    0.00    0.00    0.00   33.73     0  java
12:01:26 AM  1000      1712   22.99    0.00    0.00    0.00   22.99     0  java
12:01:27 AM  1000      1712   14.29    0.00    0.00    0.00   14.29     0  java
12:01:28 AM  1000      1712   15.38    0.00    0.00    0.00   15.38     0  java
12:01:29 AM  1000      1712   34.15    0.00    0.00    0.00   34.15     0  java
12:01:30 AM  1000      1712   25.29    0.00    0.00    0.00   25.29     0  java
12:01:31 AM  1000      1712  100.00    0.00    0.00    0.00  100.00     0  java
12:01:32 AM  1000      1712   44.59    0.00    0.00    0.00   44.59     0  java
12:01:33 AM  1000      1712  100.00    0.00    0.00    0.00  100.00     0  java
12:01:34 AM  1000      1712   43.66    8.45    0.00    0.00   52.11     0  java
12:01:35 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:36 AM  1000      1712    1.03    0.00    0.00    0.00    1.03     0  java
12:01:37 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:38 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:39 AM  1000      1712    3.16    0.00    0.00    0.00    3.16     0  java
12:01:40 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:41 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:42 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:43 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
12:01:44 AM  1000      1712    3.23    0.00    0.00    0.00    3.23     0  java
12:01:45 AM  1000      1712    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1712   20.79    1.70    0.00    0.00   22.50     -  java
