Linux 4.15.0-124-generic (bookstore) 	01/27/2021 	_x86_64_	(1 CPU)

12:04:52 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:04:53 AM  1000      1747      0.00      0.00 1568364  398584   9.87  java
12:04:54 AM  1000      1747      0.00      0.00 1568364  398584   9.87  java
12:04:55 AM  1000      1747   6254.55      0.00 1574508  410492  10.16  java
12:04:56 AM  1000      1747   5516.67      0.00 1582832  420464  10.41  java
12:04:57 AM  1000      1747     57.78      0.00 1582832  420940  10.42  java
12:04:58 AM  1000      1747    226.51      0.00 1584880  421592  10.44  java
12:04:59 AM  1000      1747    677.94      0.00 1584880  423288  10.48  java
12:05:00 AM  1000      1747    173.75      0.00 1586928  424432  10.51  java
12:05:01 AM  1000      1747    110.47      0.00 1578508  416884  10.32  java
12:05:02 AM  1000      1747    150.00      0.00 1578508  417152  10.33  java
12:05:03 AM  1000      1747    109.30      1.16 1578508  417716  10.34  java
12:05:04 AM  1000      1747     95.00      0.00 1578508  418020  10.35  java
12:05:05 AM  1000      1747   2157.65      0.00 1578508  425188  10.53  java
12:05:06 AM  1000      1747    193.83      0.00 1578508  425948  10.54  java
12:05:07 AM  1000      1747    724.36      0.00 1580908  428116  10.60  java
12:05:08 AM  1000      1747    287.50      0.00 1580908  428832  10.62  java
12:05:09 AM  1000      1747    189.19      0.00 1580908  429508  10.63  java
12:05:10 AM  1000      1747   2546.67      0.00 1584524  434112  10.75  java
12:05:11 AM  1000      1747     71.91      0.00 1578988  428788  10.62  java
12:05:12 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:13 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:14 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:15 AM  1000      1747      2.11      0.00 1578988  428788  10.62  java
12:05:16 AM  1000      1747     14.74      0.00 1578988  428788  10.62  java
12:05:17 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:18 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:19 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:20 AM  1000      1747      0.00      0.00 1578988  428788  10.62  java
12:05:21 AM  1000      1747     12.63      0.00 1578988  428864  10.62  java
12:05:22 AM  1000      1747      0.00      0.00 1578988  428864  10.62  java
Average:     1000      1747    454.16      0.04 1579325  423515  10.48  java
