Linux 4.15.0-124-generic (bookstore) 	01/30/2021 	_x86_64_	(1 CPU)

07:29:30 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:29:31 PM  1000      1827   2850.82      0.00 1590884  424508  10.51  java
07:29:32 PM  1000      1827   8340.54      0.00 1594980  436692  10.81  java
07:29:33 PM  1000      1827      6.45      0.00 1594980  436692  10.81  java
07:29:34 PM  1000      1827    107.50      0.00 1594980  437140  10.82  java
07:29:35 PM  1000      1827    264.71      0.00 1594980  437792  10.84  java
07:29:36 PM  1000      1827    294.12      0.00 1597028  438792  10.86  java
07:29:37 PM  1000      1827   1239.73      0.00 1599076  442192  10.95  java
07:29:38 PM  1000      1827    161.54      1.28 1599076  442700  10.96  java
07:29:39 PM  1000      1827    382.54      0.00 1601124  443636  10.98  java
07:29:40 PM  1000      1827   2382.81      0.00 1601124  450224  11.15  java
07:29:41 PM  1000      1827    336.71      0.00 1601124  451564  11.18  java
07:29:42 PM  1000      1827    192.31      0.00 1601124  451936  11.19  java
07:29:43 PM  1000      1827    127.63      0.00 1601124  452360  11.20  java
07:29:44 PM  1000      1827    166.67      0.00 1601124  452828  11.21  java
07:29:45 PM  1000      1827    246.58      0.00 1601124  453172  11.22  java
07:29:46 PM  1000      1827    151.47      0.00 1601124  453544  11.23  java
07:29:47 PM  1000      1827    346.30      0.00 1603172  454116  11.24  java
07:29:48 PM  1000      1827    120.00      0.00 1603172  454528  11.25  java
07:29:49 PM  1000      1827     72.06      0.00 1603172  454760  11.26  java
07:29:50 PM  1000      1827     90.14      0.00 1603172  454900  11.26  java
07:29:51 PM  1000      1827      3.16      0.00 1603172  454984  11.26  java
07:29:52 PM  1000      1827     93.51      0.00 1603172  455256  11.27  java
07:29:53 PM  1000      1827    197.10      0.00 1603172  455864  11.29  java
07:29:54 PM  1000      1827     84.44      0.00 1603172  456148  11.29  java
07:29:55 PM  1000      1827      8.51      0.00 1603172  456148  11.29  java
07:29:56 PM  1000      1827     44.44      0.00 1603172  456316  11.30  java
07:29:57 PM  1000      1827    152.38      0.00 1603172  456800  11.31  java
07:29:58 PM  1000      1827     79.49      0.00 1603172  457036  11.31  java
07:29:59 PM  1000      1827     50.00      0.00 1603172  457236  11.32  java
07:30:00 PM  1000      1827    172.31      0.00 1603172  457760  11.33  java
07:30:01 PM  1000      1827     75.00      0.00 1603172  458092  11.34  java
07:30:02 PM  1000      1827     14.13      0.00 1603172  458092  11.34  java
07:30:03 PM  1000      1827    174.24      0.00 1603172  458440  11.35  java
07:30:04 PM  1000      1827      0.00      0.00 1603172  458440  11.35  java
07:30:05 PM  1000      1827     66.25      0.00 1603172  458752  11.36  java
07:30:06 PM  1000      1827      3.16      0.00 1603172  458752  11.36  java
07:30:07 PM  1000      1827      4.26      0.00 1603172  458752  11.36  java
07:30:08 PM  1000      1827      0.00      0.00 1603172  458752  11.36  java
07:30:09 PM  1000      1827      0.00      0.00 1603172  458752  11.36  java
07:30:10 PM  1000      1827     12.09      0.00 1603172  458832  11.36  java
Average:     1000      1827    332.46      0.03 1601278  451832  11.19  java
