Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

07:06:42 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
07:06:43 PM    dev8-0      1,00      0,00    112,00      0,00    112,00      0,00      1,00      0,80
07:06:44 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,05     48,00      0,40
07:06:45 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:46 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:47 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:48 PM    dev8-0      1,00      0,00     32,00      0,00     32,00      0,00      1,00      0,40
07:06:49 PM    dev8-0      3,00      0,00     36,00      0,00     12,00      0,03     10,33      0,80
07:06:50 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:51 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:52 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:53 PM    dev8-0      1,00      0,00     28,00      0,00     28,00      0,00      1,00      0,40
07:06:54 PM    dev8-0     34,00      0,00    148,00      0,00      4,35      0,03      3,03      1,20
07:06:55 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:56 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:06:57 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
Average:       dev8-0      2,73      0,00     24,00      0,00      8,78      0,01      4,51      0,27
