Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

09:45:26 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:45:27 PM  1000      1617      1.02      0.00 1609952  514388  12.73  java
09:45:28 PM  1000      1617      7.69      0.00 1609952  514456  12.74  java
09:45:29 PM  1000      1617     18.09      0.00 1609952  514456  12.74  java
09:45:30 PM  1000      1617     44.57      0.00 1609952  514456  12.74  java
09:45:31 PM  1000      1617      3.19      0.00 1609952  514456  12.74  java
09:45:32 PM  1000      1617      3.30      0.00 1609952  514456  12.74  java
09:45:33 PM  1000      1617     26.92      0.00 1609952  514604  12.74  java
09:45:34 PM  1000      1617     63.64      0.00 1609952  514816  12.74  java
09:45:35 PM  1000      1617      3.33      0.00 1609952  514816  12.74  java
09:45:36 PM  1000      1617      1.06      0.00 1609952  514816  12.74  java
09:45:37 PM  1000      1617      2.17      0.00 1609952  514880  12.75  java
09:45:38 PM  1000      1617      5.38      0.00 1609952  514880  12.75  java
09:45:39 PM  1000      1617      0.00      0.00 1609952  514880  12.75  java
09:45:40 PM  1000      1617      1.02      0.00 1609952  514880  12.75  java
09:45:41 PM  1000      1617      0.00      0.00 1609952  514880  12.75  java
Average:     1000      1617     11.59      0.00 1609952  514675  12.74  java
