Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

10:43:32 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:43:33 PM  1000      1576    0.00    0.00    0.00    0.00    0.00     0  java
10:43:34 PM  1000      1576    0.00    0.00    0.00    0.00    0.00     0  java
10:43:35 PM  1000      1576   21.35    6.74    0.00    0.00   28.09     0  java
10:43:36 PM  1000      1576   40.23    0.00    0.00    0.00   40.23     0  java
10:43:37 PM  1000      1576   34.07    1.10    0.00    0.00   35.16     0  java
10:43:38 PM  1000      1576   34.83    0.00    0.00    0.00   34.83     0  java
10:43:39 PM  1000      1576   28.26    2.17    0.00    0.00   30.43     0  java
10:43:40 PM  1000      1576   26.09    1.09    0.00    0.00   27.17     0  java
10:43:41 PM  1000      1576   44.58    0.00    0.00    0.00   44.58     0  java
10:43:42 PM  1000      1576   24.47    0.00    0.00    0.00   24.47     0  java
10:43:43 PM  1000      1576   33.33    0.00    0.00    0.00   33.33     0  java
10:43:44 PM  1000      1576   38.64    0.00    0.00    0.00   38.64     0  java
10:43:45 PM  1000      1576   16.84    0.00    0.00    0.00   16.84     0  java
10:43:46 PM  1000      1576    1.01    0.00    0.00    0.00    1.01     0  java
10:43:47 PM  1000      1576    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1576   22.18    0.72    0.00    0.00   22.90     -  java
