Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

11:33:52 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:33:53 PM  1000      1453    1.02    0.00    0.00    0.00    1.02     0  java
11:33:54 PM  1000      1453    0.00    0.00    0.00    0.00    0.00     0  java
11:33:55 PM  1000      1453  100.00   11.29    0.00    0.00  100.00     0  java
11:33:56 PM  1000      1453   75.68    6.76    0.00    0.00   82.43     0  java
11:33:57 PM  1000      1453   43.33    6.67    0.00    0.00   50.00     0  java
11:33:58 PM  1000      1453   53.49    0.00    0.00    0.00   53.49     0  java
11:33:59 PM  1000      1453   59.26    6.17    0.00    0.00   65.43     0  java
11:34:00 PM  1000      1453   69.23    1.28    0.00    0.00   70.51     0  java
11:34:01 PM  1000      1453   23.96    5.21    0.00    0.00   29.17     0  java
11:34:02 PM  1000      1453   39.77    2.27    0.00    0.00   42.05     0  java
11:34:03 PM  1000      1453   49.40   12.05    0.00    0.00   61.45     0  java
11:34:04 PM  1000      1453   34.04    0.00    0.00    0.00   34.04     0  java
11:34:05 PM  1000      1453   14.58    0.00    0.00    0.00   14.58     0  java
11:34:06 PM  1000      1453    1.01    0.00    0.00    0.00    1.01     0  java
11:34:07 PM  1000      1453    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1453   34.60    3.10    0.00    0.00   37.70     -  java
