Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

11:10:36 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:37 PM  1000      1483      0.00      0.00 1607996  520180  12.88  java
11:10:38 PM  1000      1483      0.00      0.00 1607996  520180  12.88  java
11:10:39 PM  1000      1483     13.54      0.00 1607996  520268  12.88  java
11:10:40 PM  1000      1483      3.57      0.00 1607996  520268  12.88  java
11:10:41 PM  1000      1483      0.00      0.00 1607996  520268  12.88  java
11:10:42 PM  1000      1483     12.09      0.00 1607996  520360  12.88  java
11:10:43 PM  1000      1483     14.77      0.00 1607996  520360  12.88  java
11:10:44 PM  1000      1483      0.00      0.00 1607996  520360  12.88  java
11:10:45 PM  1000      1483      2.06      0.00 1607996  520440  12.88  java
11:10:46 PM  1000      1483      4.44      0.00 1607996  520440  12.88  java
11:10:47 PM  1000      1483      5.32      0.00 1607996  520440  12.88  java
11:10:48 PM  1000      1483      2.15      0.00 1607996  520440  12.88  java
11:10:49 PM  1000      1483      9.78      0.00 1607996  520440  12.88  java
11:10:50 PM  1000      1483      0.00      0.00 1607996  520440  12.88  java
11:10:51 PM  1000      1483      0.00      0.00 1607996  520440  12.88  java
Average:     1000      1483      4.44      0.00 1607996  520355  12.88  java
