Linux 4.15.0-124-generic (bookstore) 	12/22/2020 	_x86_64_	(1 CPU)

10:31:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:01 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java
10:31:02 PM  1000      1805    3.19    0.00    0.00    0.00    3.19     0  java
10:31:03 PM  1000      1805    3.09    2.06    0.00    0.00    5.15     0  java
10:31:04 PM  1000      1805  100.00    4.65    0.00    0.00  100.00     0  java
10:31:05 PM  1000      1805  100.00    8.89    0.00    0.00  100.00     0  java
10:31:06 PM  1000      1805  100.00    3.70    0.00    0.00  100.00     0  java
10:31:07 PM  1000      1805    3.26    0.00    0.00    0.00    3.26     0  java
10:31:08 PM  1000      1805   37.66    1.30    0.00    0.00   38.96     0  java
10:31:09 PM  1000      1805    7.69    0.00    0.00    0.00    7.69     0  java
10:31:10 PM  1000      1805   26.58    5.06    0.00    0.00   31.65     0  java
10:31:11 PM  1000      1805   36.59    4.88    0.00    0.00   41.46     0  java
10:31:12 PM  1000      1805   32.91    5.06    0.00    0.00   37.97     0  java
10:31:13 PM  1000      1805   31.17   11.69    0.00    0.00   42.86     0  java
10:31:14 PM  1000      1805    3.16    0.00    0.00    0.00    3.16     0  java
10:31:15 PM  1000      1805   34.18    1.27    0.00    0.00   35.44     0  java
10:31:16 PM  1000      1805   19.05    4.76    0.00    0.00   23.81     0  java
10:31:17 PM  1000      1805  100.00   20.45    0.00    0.00  100.00     0  java
10:31:18 PM  1000      1805  100.00    0.00    0.00    0.00  100.00     0  java
10:31:19 PM  1000      1805  100.00    1.85    0.00    0.00  100.00     0  java
10:31:20 PM  1000      1805  100.00    4.76    0.00    0.00  100.00     0  java
10:31:21 PM  1000      1805  100.00    9.68    0.00    0.00  100.00     0  java
10:31:22 PM  1000      1805  100.00   23.33    0.00    0.00  100.00     0  java
10:31:23 PM  1000      1805  100.00    7.02    0.00    0.00  100.00     0  java
10:31:24 PM  1000      1805  100.00   26.32    0.00    0.00  100.00     0  java
10:31:25 PM  1000      1805  100.00    0.00    0.00    0.00  100.00     0  java
10:31:26 PM  1000      1805    7.61    1.09    0.00    0.00    8.70     0  java
10:31:27 PM  1000      1805   18.39    0.00    0.00    0.00   18.39     0  java
10:31:28 PM  1000      1805   94.64   12.50    0.00    0.00  100.00     0  java
10:31:29 PM  1000      1805   28.75    3.75    0.00    0.00   32.50     0  java
10:31:30 PM  1000      1805   39.73    1.37    0.00    0.00   41.10     0  java
10:31:31 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java
10:31:32 PM  1000      1805   63.08    6.15    0.00    0.00   69.23     0  java
10:31:33 PM  1000      1805   17.24    0.00    0.00    0.00   17.24     0  java
10:31:34 PM  1000      1805   59.68   12.90    0.00    0.00   72.58     0  java
10:31:35 PM  1000      1805   12.50    1.14    0.00    0.00   13.64     0  java
10:31:36 PM  1000      1805   24.69    4.94    0.00    0.00   29.63     0  java
10:31:37 PM  1000      1805   29.87    3.90    0.00    0.00   33.77     0  java
10:31:39 PM  1000      1805   15.48    4.76    0.00    0.00   20.24     0  java
10:31:40 PM  1000      1805   26.92    3.85    0.00    0.00   30.77     0  java
10:31:40 PM  1000      1805    2.13    0.00    0.00    0.00    2.13     0  java
10:31:42 PM  1000      1805   56.92    4.62    0.00    0.00   61.54     0  java
10:31:43 PM  1000      1805    2.11    1.05    0.00    0.00    3.16     0  java
10:31:44 PM  1000      1805   14.77    3.41    0.00    0.00   18.18     0  java
10:31:45 PM  1000      1805   13.64    0.00    0.00    0.00   13.64     0  java
10:31:46 PM  1000      1805   44.12   11.76    0.00    0.00   55.88     0  java
10:31:47 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java
10:31:48 PM  1000      1805   12.64    0.00    0.00    0.00   12.64     0  java
10:31:49 PM  1000      1805   43.66    4.23    0.00    0.00   47.89     0  java
10:31:50 PM  1000      1805    6.45    1.08    0.00    0.00    7.53     0  java
10:31:51 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java
10:31:52 PM  1000      1805   37.50    8.33    0.00    0.00   45.83     0  java
10:31:53 PM  1000      1805    1.03    1.03    0.00    0.00    2.06     0  java
10:31:54 PM  1000      1805    2.15    3.23    0.00    0.00    5.38     0  java
10:31:55 PM  1000      1805   43.66    5.63    0.00    0.00   49.30     0  java
10:31:56 PM  1000      1805    1.05    0.00    0.00    0.00    1.05     0  java
10:31:57 PM  1000      1805    1.03    0.00    0.00    0.00    1.03     0  java
10:31:58 PM  1000      1805    7.69    1.10    0.00    0.00    8.79     0  java
10:31:59 PM  1000      1805    1.03    0.00    0.00    0.00    1.03     0  java
10:32:00 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java
10:32:01 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java
10:32:02 PM  1000      1805    0.00    0.00    0.00    0.00    0.00     0  java

Average:     1000      1805   35.11    3.36    0.00    0.00   38.47     -  java
