Linux 4.15.0-124-generic (bookstore) 	12/22/2020 	_x86_64_	(1 CPU)

10:31:00 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:31:01 PM  1000      1805      0.00      0.00 1590700  456964  11.31  java
10:31:02 PM  1000      1805      0.00      0.00 1590700  456964  11.31  java
10:31:03 PM  1000      1805     39.58      0.00 1590700  457088  11.32  java
10:31:04 PM  1000      1805   3611.63      0.00 1594796  461020  11.41  java
10:31:05 PM  1000      1805   3317.78      0.00 1601116  467356  11.57  java
10:31:06 PM  1000      1805    288.89      0.00 1601116  467856  11.58  java
10:31:07 PM  1000      1805      7.61      0.00 1601116  467948  11.58  java
10:31:08 PM  1000      1805    414.29      0.00 1601116  469244  11.62  java
10:31:09 PM  1000      1805     17.58      0.00 1601116  469344  11.62  java
10:31:10 PM  1000      1805    110.13      0.00 1601116  469592  11.63  java
10:31:11 PM  1000      1805    124.39      0.00 1601116  470092  11.64  java
10:31:12 PM  1000      1805    100.00      0.00 1601116  470332  11.64  java
10:31:13 PM  1000      1805     93.51      0.00 1601116  470540  11.65  java
10:31:14 PM  1000      1805      6.25      0.00 1601116  470564  11.65  java
10:31:15 PM  1000      1805    583.33      0.00 1603164  472560  11.70  java
10:31:16 PM  1000      1805    455.95      0.00 1605212  474120  11.74  java
10:31:17 PM  1000      1805   1368.18      0.00 1607260  476392  11.79  java
10:31:18 PM  1000      1805    318.03      1.64 1607260  477352  11.82  java
10:31:19 PM  1000      1805    196.23      0.00 1607260  477644  11.82  java
10:31:20 PM  1000      1805    158.73      0.00 1607260  478108  11.84  java
10:31:21 PM  1000      1805    387.10      0.00 1607260  478996  11.86  java
10:31:22 PM  1000      1805    131.67      0.00 1607260  479264  11.86  java
10:31:23 PM  1000      1805    233.33      0.00 1607260  479824  11.88  java
10:31:24 PM  1000      1805    224.56      0.00 1607260  480552  11.90  java
10:31:25 PM  1000      1805    446.67      0.00 1607260  481364  11.92  java
10:31:26 PM  1000      1805     42.39      0.00 1607260  481496  11.92  java
10:31:27 PM  1000      1805     33.33      0.00 1607260  481572  11.92  java
10:31:28 PM  1000      1805    560.71      0.00 1609308  482620  11.95  java
10:31:29 PM  1000      1805     61.25      0.00 1609308  483056  11.96  java
10:31:30 PM  1000      1805    109.59      0.00 1609308  483312  11.96  java
10:31:31 PM  1000      1805      0.00      0.00 1609308  483312  11.96  java
10:31:32 PM  1000      1805    110.77      0.00 1609308  483616  11.97  java
10:31:33 PM  1000      1805     43.68      0.00 1609308  483772  11.98  java
10:31:34 PM  1000      1805    112.90      0.00 1609308  484008  11.98  java
10:31:35 PM  1000      1805     11.36      0.00 1609308  484076  11.98  java
10:31:36 PM  1000      1805    128.40      0.00 1609308  484492  11.99  java
10:31:37 PM  1000      1805    125.97      0.00 1609308  484800  12.00  java
10:31:39 PM  1000      1805     29.76      0.00 1609308  484800  12.00  java
10:31:40 PM  1000      1805     66.67      0.00 1609308  485092  12.01  java
10:31:41 PM  1000      1805      0.00      0.00 1609308  485092  12.01  java
10:31:42 PM  1000      1805    163.08      0.00 1609308  485448  12.02  java
10:31:43 PM  1000      1805      7.29      0.00 1609308  485448  12.02  java
10:31:44 PM  1000      1805     20.69      0.00 1609308  485532  12.02  java
10:31:45 PM  1000      1805     26.14      0.00 1609308  485668  12.02  java
10:31:46 PM  1000      1805     80.88      0.00 1609308  485812  12.03  java
10:31:47 PM  1000      1805      0.00      0.00 1609308  485812  12.03  java
10:31:48 PM  1000      1805     40.23      0.00 1609308  486024  12.03  java
10:31:49 PM  1000      1805     80.28      0.00 1609308  486200  12.04  java
10:31:50 PM  1000      1805     13.98      0.00 1609308  486260  12.04  java
10:31:51 PM  1000      1805      0.00      0.00 1609308  486260  12.04  java
10:31:52 PM  1000      1805     98.63      0.00 1609308  486556  12.05  java
10:31:53 PM  1000      1805      2.08      0.00 1609308  486560  12.05  java
10:31:54 PM  1000      1805     11.83      0.00 1609308  486560  12.05  java
10:31:55 PM  1000      1805    119.72      0.00 1609308  486872  12.05  java
10:31:56 PM  1000      1805      0.00      0.00 1609308  486872  12.05  java
10:31:57 PM  1000      1805      0.00      0.00 1609308  486872  12.05  java
10:31:58 PM  1000      1805      3.30      0.00 1609308  486872  12.05  java
10:31:59 PM  1000      1805      2.06      0.00 1609308  486872  12.05  java
10:32:00 PM  1000      1805      0.00      0.00 1609308  486872  12.05  java
10:32:01 PM  1000      1805      0.00      0.00 1609308  486872  12.05  java
10:32:02 PM  1000      1805      0.00      0.00 1609308  486872  12.05  java

Average:     1000      1805    166.11      0.02 1606275  479497  11.87  java
