Linux 4.15.0-124-generic (bookstore) 	01/20/2021 	_x86_64_	(1 CPU)

11:54:12 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:54:13 PM  1000      1851    1.03    1.03    0.00    0.00    2.06     0  java
11:54:14 PM  1000      1851   13.19    0.00    0.00    0.00   13.19     0  java
11:54:15 PM  1000      1851  100.00   22.22    0.00    0.00  100.00     0  java
11:54:16 PM  1000      1851   72.58    4.84    0.00    0.00   77.42     0  java
11:54:17 PM  1000      1851   66.15   12.31    0.00    0.00   78.46     0  java
11:54:18 PM  1000      1851   41.56    0.00    0.00    0.00   41.56     0  java
11:54:19 PM  1000      1851   10.99    0.00    0.00    0.00   10.99     0  java
11:54:20 PM  1000      1851   13.79    1.15    0.00    0.00   14.94     0  java
11:54:21 PM  1000      1851   25.61    3.66    0.00    0.00   29.27     0  java
11:54:22 PM  1000      1851   26.83    4.88    0.00    0.00   31.71     0  java
11:54:23 PM  1000      1851   35.14   16.22    0.00    0.00   51.35     0  java
11:54:24 PM  1000      1851   32.93    1.22    0.00    0.00   34.15     0  java
11:54:25 PM  1000      1851   23.26    2.33    0.00    0.00   25.58     0  java
11:54:26 PM  1000      1851   40.00    6.25    0.00    0.00   46.25     0  java
11:54:27 PM  1000      1851   72.73    1.52    0.00    0.00   74.24     0  java
11:54:28 PM  1000      1851   14.61    4.49    0.00    0.00   19.10     0  java
11:54:29 PM  1000      1851   23.53    2.35    0.00    0.00   25.88     0  java
11:54:30 PM  1000      1851   75.81    8.06    0.00    0.00   83.87     0  java
11:54:31 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:32 PM  1000      1851   15.12    0.00    0.00    0.00   15.12     0  java
11:54:33 PM  1000      1851    1.06    1.06    0.00    0.00    2.13     0  java
11:54:34 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:35 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:36 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:37 PM  1000      1851   51.47    5.88    0.00    0.00   57.35     0  java
11:54:38 PM  1000      1851   87.72    8.77    0.00    0.00   96.49     0  java
11:54:39 PM  1000      1851   11.24    0.00    0.00    0.00   11.24     0  java
11:54:40 PM  1000      1851   46.05    0.00    0.00    0.00   46.05     0  java
11:54:41 PM  1000      1851    6.52    0.00    0.00    0.00    6.52     0  java
11:54:42 PM  1000      1851    2.08    0.00    0.00    0.00    2.08     0  java
11:54:43 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:44 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:45 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:46 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:47 PM  1000      1851    1.04    0.00    0.00    0.00    1.04     0  java
11:54:48 PM  1000      1851    1.01    0.00    0.00    0.00    1.01     0  java
11:54:49 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:50 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:51 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:52 PM  1000      1851    1.02    0.00    0.00    0.00    1.02     0  java
11:54:53 PM  1000      1851    1.03    0.00    0.00    0.00    1.03     0  java
11:54:54 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:55 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:56 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:54:57 PM  1000      1851    5.38    0.00    0.00    0.00    5.38     0  java
11:54:58 PM  1000      1851    1.03    0.00    0.00    0.00    1.03     0  java
11:54:59 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:00 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:01 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:02 PM  1000      1851    7.69    1.10    0.00    0.00    8.79     0  java
11:55:03 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:04 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:05 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:06 PM  1000      1851    1.03    0.00    0.00    0.00    1.03     0  java
11:55:07 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:08 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:09 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:10 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:11 PM  1000      1851    1.05    0.00    0.00    0.00    1.05     0  java
11:55:12 PM  1000      1851    4.26    0.00    0.00    0.00    4.26     0  java
11:55:13 PM  1000      1851    1.02    0.00    0.00    0.00    1.02     0  java
11:55:14 PM  1000      1851    0.00    1.04    0.00    0.00    1.04     0  java
11:55:15 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:16 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:17 PM  1000      1851    0.00    1.05    0.00    0.00    1.05     0  java
11:55:18 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:19 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:20 PM  1000      1851    1.03    0.00    0.00    0.00    1.03     0  java
11:55:21 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:22 PM  1000      1851    1.04    0.00    0.00    0.00    1.04     0  java
11:55:23 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:24 PM  1000      1851    1.03    0.00    0.00    0.00    1.03     0  java
11:55:25 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:26 PM  1000      1851    0.00    1.03    0.00    0.00    1.03     0  java
11:55:27 PM  1000      1851    3.12    0.00    0.00    0.00    3.12     0  java
11:55:28 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:29 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:30 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:31 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:32 PM  1000      1851    2.11    0.00    0.00    0.00    2.11     0  java
11:55:33 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:34 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:35 PM  1000      1851    1.02    0.00    0.00    0.00    1.02     0  java
11:55:36 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:37 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:38 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:39 PM  1000      1851    1.02    0.00    0.00    0.00    1.02     0  java
11:55:40 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:41 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:42 PM  1000      1851    4.26    1.06    0.00    0.00    5.32     0  java
11:55:43 PM  1000      1851    1.02    0.00    0.00    0.00    1.02     0  java
11:55:44 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:45 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:46 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:47 PM  1000      1851    4.17    1.04    0.00    0.00    5.21     0  java
11:55:48 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:49 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:50 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:51 PM  1000      1851    0.00    0.00    0.00    0.00    0.00     0  java
11:55:52 PM  1000      1851    4.21    0.00    0.00    0.00    4.21     0  java
Average:     1000      1851    7.85    0.81    0.00    0.00    8.66     -  java
