Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

01:47:57 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:47:58 AM  1000      1907   10.11    2.25    0.00    0.00   12.36     0  java
01:47:59 AM  1000      1907    8.99    0.00    0.00    0.00    8.99     0  java
01:48:00 AM  1000      1907   15.56    0.00    0.00    0.00   15.56     0  java
01:48:01 AM  1000      1907   47.37    0.00    0.00    0.00   47.37     0  java
01:48:02 AM  1000      1907   20.45    0.00    0.00    0.00   20.45     0  java
01:48:03 AM  1000      1907   21.35    0.00    0.00    0.00   21.35     0  java
01:48:04 AM  1000      1907   30.95    0.00    0.00    0.00   30.95     0  java
01:48:05 AM  1000      1907   28.24    0.00    0.00    0.00   28.24     0  java
01:48:06 AM  1000      1907   17.78    0.00    0.00    0.00   17.78     0  java
01:48:07 AM  1000      1907   10.00    0.00    0.00    0.00   10.00     0  java
01:48:08 AM  1000      1907   26.25    0.00    0.00    0.00   26.25     0  java
01:48:09 AM  1000      1907   19.05    0.00    0.00    0.00   19.05     0  java
01:48:10 AM  1000      1907   21.95    0.00    0.00    0.00   21.95     0  java
01:48:11 AM  1000      1907    1.05    0.00    0.00    0.00    1.05     0  java
01:48:12 AM  1000      1907   13.33    0.00    0.00    0.00   13.33     0  java
01:48:13 AM  1000      1907    6.67    0.00    0.00    0.00    6.67     0  java
01:48:14 AM  1000      1907    7.69    0.00    0.00    0.00    7.69     0  java
01:48:15 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:16 AM  1000      1907    1.03    0.00    0.00    0.00    1.03     0  java
01:48:17 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:18 AM  1000      1907    1.06    0.00    0.00    0.00    1.06     0  java
01:48:19 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:20 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:21 AM  1000      1907    1.03    0.00    0.00    0.00    1.03     0  java
01:48:22 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:23 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:24 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:25 AM  1000      1907    1.02    0.00    0.00    0.00    1.02     0  java
01:48:26 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
01:48:27 AM  1000      1907    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1907    9.65    0.07    0.00    0.00    9.72     -  java
