Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

01:53:18 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:19 AM  1000      1907      0.00      0.00 1606380  499824  12.37  java
01:53:20 AM  1000      1907      3.41      0.00 1606380  499824  12.37  java
01:53:21 AM  1000      1907      0.00      0.00 1606380  499824  12.37  java
01:53:22 AM  1000      1907      0.00      0.00 1606380  499824  12.37  java
01:53:23 AM  1000      1907     12.36      0.00 1606380  499944  12.38  java
01:53:24 AM  1000      1907      2.20      0.00 1606380  499944  12.38  java
01:53:25 AM  1000      1907      0.00      0.00 1606380  499944  12.38  java
01:53:26 AM  1000      1907      0.00      0.00 1606380  499944  12.38  java
01:53:27 AM  1000      1907     14.46      0.00 1606380  500004  12.38  java
01:53:28 AM  1000      1907     17.81      0.00 1606380  500032  12.38  java
01:53:29 AM  1000      1907   1274.24      0.00 1609776  503400  12.46  java
01:53:30 AM  1000      1907     27.14      0.00 1609776  503436  12.46  java
01:53:31 AM  1000      1907      8.97      0.00 1609776  503436  12.46  java
01:53:32 AM  1000      1907      0.00      0.00 1609776  503436  12.46  java
01:53:33 AM  1000      1907      0.00      0.00 1609776  503436  12.46  java
01:53:34 AM  1000      1907      9.46      0.00 1609776  503536  12.47  java
01:53:35 AM  1000      1907      1.09      0.00 1609776  503536  12.47  java
01:53:36 AM  1000      1907      1.14      0.00 1609776  503536  12.47  java
01:53:37 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:38 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:39 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:40 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:41 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:42 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:43 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:44 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:45 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:46 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:47 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
01:53:48 AM  1000      1907      0.00      0.00 1609776  503536  12.47  java
Average:     1000      1907     33.95      0.00 1608644  502310  12.44  java
