Linux 4.15.0-124-generic (bookstore) 	12/17/2020 	_x86_64_	(1 CPU)

10:17:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:17:18 PM  1000      1776    0.00    0.00    0.00    0.00    0.00     0  java
10:17:19 PM  1000      1776    2.08    1.04    0.00    0.00    3.12     0  java
10:17:20 PM  1000      1776  100.00   19.51    0.00    0.00  100.00     0  java
10:17:21 PM  1000      1776  100.00   16.33    0.00    0.00  100.00     0  java
10:17:22 PM  1000      1776    7.61    0.00    0.00    0.00    7.61     0  java
10:17:23 PM  1000      1776    1.03    0.00    0.00    0.00    1.03     0  java
10:17:24 PM  1000      1776   42.67    0.00    0.00    0.00   42.67     0  java
10:17:25 PM  1000      1776   40.79    0.00    0.00    0.00   40.79     0  java
10:17:26 PM  1000      1776   19.77    0.00    0.00    0.00   19.77     0  java
10:17:27 PM  1000      1776   30.00    1.25    0.00    0.00   31.25     0  java
10:17:28 PM  1000      1776   37.50    1.25    0.00    0.00   38.75     0  java
10:17:29 PM  1000      1776    5.38    0.00    0.00    0.00    5.38     0  java
10:17:30 PM  1000      1776   42.67    1.33    0.00    0.00   44.00     0  java
10:17:31 PM  1000      1776   15.29    5.88    0.00    0.00   21.18     0  java
10:17:32 PM  1000      1776  100.00   16.95    0.00    0.00  100.00     0  java
10:17:33 PM  1000      1776   96.92    0.00    0.00    0.00   96.92     0  java
10:17:34 PM  1000      1776  100.00   15.25    0.00    0.00  100.00     0  java
10:17:35 PM  1000      1776  100.00    5.88    0.00    0.00  100.00     0  java
10:17:36 PM  1000      1776  100.00   14.06    0.00    0.00  100.00     0  java
10:17:37 PM  1000      1776  100.00    0.00    0.00    0.00  100.00     0  java
10:17:38 PM  1000      1776  100.00   26.92    0.00    0.00  100.00     0  java
10:17:39 PM  1000      1776  100.00   19.23    0.00    0.00  100.00     0  java
10:17:40 PM  1000      1776  100.00    6.67    0.00    0.00  100.00     0  java
10:17:41 PM  1000      1776    2.13    2.13    0.00    0.00    4.26     0  java
10:17:42 PM  1000      1776    0.00    0.00    0.00    0.00    0.00     0  java
10:17:43 PM  1000      1776    0.00    0.00    0.00    0.00    0.00     0  java
10:17:44 PM  1000      1776   56.25   12.50    0.00    0.00   68.75     0  java
10:17:45 PM  1000      1776   41.67   11.11    0.00    0.00   52.78     0  java
10:17:46 PM  1000      1776   13.33    1.11    0.00    0.00   14.44     0  java
10:17:47 PM  1000      1776    0.00    0.00    0.00    0.00    0.00     0  java
10:17:48 PM  1000      1776   43.48    7.25    0.00    0.00   50.72     0  java
10:17:49 PM  1000      1776    6.59    2.20    0.00    0.00    8.79     0  java
