Linux 4.15.0-124-generic (bookstore) 	12/17/2020 	_x86_64_	(1 CPU)

10:52:40 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:52:41 PM  1000      1859      0.00      0.00 1584804  454268  11.25  java
10:52:42 PM  1000      1859   1123.75      0.00 1586852  456384  11.30  java
10:52:43 PM  1000      1859  13293.33      0.00 1596792  471736  11.68  java
10:52:44 PM  1000      1859   3896.00      0.00 1603768  479268  11.86  java
10:52:45 PM  1000      1859     40.23      0.00 1597584  473456  11.72  java
10:52:46 PM  1000      1859     34.25      0.00 1597584  473456  11.72  java
10:52:47 PM  1000      1859    142.25      0.00 1597584  474316  11.74  java
10:52:48 PM  1000      1859     38.20      0.00 1597584  474448  11.75  java
10:52:49 PM  1000      1859    179.52      0.00 1599632  474928  11.76  java
10:52:50 PM  1000      1859    134.83      0.00 1599632  475320  11.77  java
10:52:51 PM  1000      1859    832.39      0.00 1601680  477788  11.83  java
10:52:52 PM  1000      1859   1595.77      0.00 1601680  482480  11.94  java
10:52:53 PM  1000      1859    408.89      0.00 1601680  483212  11.96  java
10:52:54 PM  1000      1859    490.91      0.00 1601680  484256  11.99  java
10:52:55 PM  1000      1859    191.94      0.00 1601680  484648  12.00  java
10:52:56 PM  1000      1859   3815.38      0.00 1603728  492668  12.20  java
10:52:57 PM  1000      1859    295.08      1.64 1603728  493600  12.22  java
10:52:58 PM  1000      1859   1949.06      0.00 1607120  497648  12.32  java
10:52:59 PM  1000      1859    244.64      0.00 1607120  498152  12.33  java
10:53:00 PM  1000      1859    180.95      0.00 1607120  498536  12.34  java
10:53:01 PM  1000      1859      0.00      0.00 1607120  498536  12.34  java
10:53:02 PM  1000      1859     21.05      0.00 1607120  498616  12.34  java
10:53:03 PM  1000      1859    115.62      0.00 1607120  498856  12.35  java
10:53:04 PM  1000      1859      2.06      0.00 1607120  498856  12.35  java
10:53:05 PM  1000      1859     12.12      0.00 1607120  498948  12.35  java
10:53:06 PM  1000      1859     93.94      0.00 1607120  499096  12.36  java
10:53:07 PM  1000      1859      5.10      0.00 1607120  499196  12.36  java
10:53:08 PM  1000      1859      0.00      0.00 1607120  499196  12.36  java
10:53:09 PM  1000      1859     87.93      0.00 1607120  499428  12.36  java
10:53:10 PM  1000      1859     35.05      0.00 1607120  499504  12.37  java
10:53:11 PM  1000      1859      2.08      0.00 1607120  499504  12.37  java
10:53:12 PM  1000      1859    119.70      0.00 1607120  499776  12.37  java
10:53:13 PM  1000      1859      6.32      0.00 1607120  499776  12.37  java
