Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

08:21:30 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
08:21:31 PM    dev8-0      1,00      0,00     16,00      0,00     16,00      0,00      1,00      0,40
08:21:32 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:33 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:34 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:35 PM    dev8-0      1,00      0,00     48,00      0,00     48,00      0,00      0,00      0,40
08:21:36 PM    dev8-0     18,00      0,00     88,00      0,00      4,89      0,03      3,50      0,80
08:21:37 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:38 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:39 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:40 PM    dev8-0      1,00      0,00     24,00      0,00     24,00      0,00      1,00      0,40
08:21:41 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,05     54,00      0,40
08:21:42 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:43 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:44 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:21:45 PM    dev8-0      3,00      0,00     32,00      0,00     10,67      0,00      0,67      0,40
Average:       dev8-0      1,67      0,00     14,12      0,00      8,48      0,01      4,84      0,19
